timestamp,open,high,low,close,volume
5/7/2018,185.18,187.67,184.75,185.16,42451423
5/8/2018,184.99,186.22,183.67,186.05,28402777
5/9/2018,186.55,187.4,185.22,187.36,23211241
5/10/2018,187.74,190.37,187.65,190.04,27989289
5/11/2018,189.49,190.06,187.45,188.59,26212221
5/14/2018,189.01,189.53,187.86,188.15,20778772
5/15/2018,186.78,187.07,185.1,186.44,23695159
5/16/2018,186.07,188.46,186,188.18,19183064
5/17/2018,188,188.91,186.36,186.99,17294029
5/18/2018,187.19,187.81,186.13,186.31,18297728
5/21/2018,188,189.27,186.91,187.63,18400787
5/22/2018,188.38,188.88,186.78,187.16,15240704
5/23/2018,186.35,188.5,185.76,188.36,20058415
5/24/2018,188.77,188.84,186.21,188.15,23233975
5/25/2018,188.23,189.65,187.65,188.58,17460963
5/29/2018,187.6,188.75,186.87,187.9,22514075
5/30/2018,187.72,188,186.78,187.5,18690547
5/31/2018,187.22,188.23,186.14,186.87,27482793
6/1/2018,187.99,190.26,187.75,190.24,23442510
6/4/2018,191.64,193.42,191.35,191.83,26266174
6/5/2018,193.07,193.94,192.36,193.31,21565963
6/6/2018,193.63,194.08,191.92,193.98,20933619
6/7/2018,194.14,194.2,192.34,193.46,21347180
6/8/2018,191.17,192,189.77,191.7,26656799
6/11/2018,191.35,191.97,190.21,191.23,18308460
6/12/2018,191.39,192.61,191.15,192.28,16911141
6/13/2018,192.42,192.88,190.44,190.7,21638393
6/14/2018,191.55,191.57,190.22,190.8,21610074
6/15/2018,190.03,190.16,188.26,188.84,61719160
6/18/2018,187.88,189.22,187.2,188.74,18484865
6/19/2018,185.14,186.33,183.45,185.69,33578455
6/20/2018,186.35,187.2,185.73,186.5,20628701
6/21/2018,187.25,188.35,184.94,185.46,25711898
6/22/2018,186.12,186.15,184.7,184.92,27200447
6/25/2018,183.4,184.92,180.73,182.17,31663096
6/26/2018,182.99,186.53,182.54,184.43,24569201
6/27/2018,185.23,187.28,184.03,184.16,25285328
6/28/2018,184.1,186.21,183.8,185.5,17365235
6/29/2018,186.29,187.19,182.91,185.11,22737666
7/2/2018,183.82,187.3,183.42,187.18,17731343
7/3/2018,187.79,187.95,183.54,183.92,13954806
7/5/2018,185.26,186.41,184.28,185.4,16604248
